技能别名主键,标准技能名称,技能别名,技能大组,技能子组,技能性质,匹配策略,词典置信度,来源依据,备注,别名标准化键,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,是否AI核心技能,同名候选技能数,别名映射状态
BM00788,团队合作,团队配合能力,团队与协作能力,团队合作,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,团队配合能力,JN0771,团队合作,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM01837,团队建设,团队建设,,,,,,标准技能名称,,团队建设,JN0820,团队建设,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00952,团队建设,团队建设能力,管理与领导能力,团队建设,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,团队建设能力,JN0820,团队建设,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00953,团队建设,团队组建能力,管理与领导能力,团队建设,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,团队组建能力,JN0820,团队建设,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00800,团队意识,团结精神,团队与协作能力,团队意识,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,团结精神,JN0794,团队意识,非技术性能力,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00797,团队意识,团队意识,团队与协作能力,团队意识,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,团队意识,JN0794,团队意识,非技术性能力,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00798,团队意识,集体意识,团队与协作能力,团队意识,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,集体意识,JN0794,团队意识,非技术性能力,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00799,团队意识,集体精神,团队与协作能力,团队意识,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,集体精神,JN0794,团队意识,非技术性能力,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00575,固废处理,危废处理,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,危废处理,JN0735,固废处理,专业知识与行业经验,20.0,安全环保与职业健康,否,1,唯一映射
BM00574,固废处理,固废处理,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,固废处理,JN0735,固废处理,专业知识与行业经验,20.0,安全环保与职业健康,否,1,唯一映射
BM00613,国际贸易,国际贸易,物流采购供应链,物流采购供应链,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,国际贸易,JN0074,国际贸易,方法、标准与流程,4.0,供应链与物流管理,否,1,唯一映射
BM00614,国际贸易,外贸,物流采购供应链,物流采购供应链,专业技能/方法流程,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,外贸,JN0074,国际贸易,方法、标准与流程,4.0,供应链与物流管理,否,1,唯一映射
BM00493,土建施工,土建施工,建筑地产工程,建筑地产工程,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,土建施工,JN0100,土建施工,具体专业技能,16.0,建筑施工与工程造价,否,1,唯一映射
BM00494,土建施工,施工管理,建筑地产工程,建筑地产工程,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,施工管理,JN0100,土建施工,具体专业技能,16.0,建筑施工与工程造价,否,1,唯一映射
BM00302,培训开发,培训体系,人力资源行政管理,人力资源行政管理,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,培训体系,JN0111,培训开发,方法、标准与流程,17.0,人力资源与行政管理,否,1,唯一映射
BM00301,培训开发,培训开发,人力资源行政管理,人力资源行政管理,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,培训开发,JN0111,培训开发,方法、标准与流程,17.0,人力资源与行政管理,否,1,唯一映射
BM00251,基金从业资格,基金从业资格,证书资质,财会金融证书,职业资格证书,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,基础词典同名冲突已按唯一标准口径修正。,基金从业资格,JN0750,基金从业资格,证书与资质,14.0,金融风控、投资与合规,否,1,唯一映射
BM01784,增强现实,增强现实,,,,,,标准技能名称,,增强现实,JN0573,增强现实,工具软件与技术平台,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM01181,多线程编程,多线程开发,数字技术,编程方法,专业技能/编程技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,多线程开发,JN0179,多线程编程,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM01180,多线程编程,多线程编程,数字技术,编程方法,专业技能/编程技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,多线程编程,JN0179,多线程编程,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM01182,多线程编程,并发编程,数字技术,编程方法,专业技能/编程技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,并发编程,JN0179,多线程编程,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM00326,大客户销售,KA销售,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,ka销售,JN0053,大客户销售,方法、标准与流程,2.0,组织协调与商业执行,否,1,唯一映射
BM00325,大客户销售,大客户销售,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,大客户销售,JN0053,大客户销售,方法、标准与流程,2.0,组织协调与商业执行,否,1,唯一映射
BM00327,大客户销售,客户开发,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,客户开发,JN0053,大客户销售,方法、标准与流程,2.0,组织协调与商业执行,否,1,唯一映射
BM01120,大模型工程工具链,DeepSpeed,人工智能与算法,大模型工程工具链,专业技能/模型工程工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,deepspeed,JN0645,大模型工程工具链,工具软件与技术平台,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01121,大模型工程工具链,Megatron-LM,人工智能与算法,大模型工程工具链,专业技能/模型工程工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,megatron-lm,JN0645,大模型工程工具链,工具软件与技术平台,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01119,大模型工程工具链,Ollama,人工智能与算法,大模型工程工具链,专业技能/模型工程工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,ollama,JN0645,大模型工程工具链,工具软件与技术平台,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01122,大模型工程工具链,TensorRT-LLM,人工智能与算法,大模型工程工具链,专业技能/模型工程工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,tensorrt-llm,JN0645,大模型工程工具链,工具软件与技术平台,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01118,大模型工程工具链,vLLM,人工智能与算法,大模型工程工具链,专业技能/模型工程工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,vllm,JN0645,大模型工程工具链,工具软件与技术平台,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01772,大模型工程工具链,大模型工程工具链,,,,,,标准技能名称,,大模型工程工具链,JN0645,大模型工程工具链,工具软件与技术平台,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01075,大模型开发,Fine-tuning,人工智能与算法,大模型工程,专业技能/模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,fine-tuning,JN0568,大模型开发,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01076,大模型开发,Finetuning,人工智能与算法,大模型工程,专业技能/模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,finetuning,JN0568,大模型开发,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01077,大模型开发,SFT,人工智能与算法,大模型工程,专业技能/模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,sft,JN0568,大模型开发,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01071,大模型开发,大模型应用开发,人工智能与算法,大模型工程,专业技能/模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,大模型应用开发,JN0568,大模型开发,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01070,大模型开发,大模型开发,人工智能与算法,大模型工程,专业技能/模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,大模型开发,JN0568,大模型开发,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01072,大模型开发,大模型训练,人工智能与算法,大模型工程,专业技能/模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,大模型训练,JN0568,大模型开发,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01074,大模型开发,指令微调,人工智能与算法,大模型工程,专业技能/模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,指令微调,JN0568,大模型开发,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01073,大模型开发,模型微调,人工智能与算法,大模型工程,专业技能/模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,模型微调,JN0568,大模型开发,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01068,大语言模型,Foundation Model,人工智能与算法,大语言模型,专业技能/模型技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,foundationmodel,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01069,大语言模型,Foundation Models,人工智能与算法,大语言模型,专业技能/模型技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,foundationmodels,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM00177,大语言模型,LLM,人工智能与算法,大语言模型,专业技能/模型技术,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,依据留出样本审计拆分生成式人工智能与大语言模型口径。,llm,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01066,大语言模型,LLMs,人工智能与算法,大语言模型,专业技能/模型技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,llms,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01064,大语言模型,Large Language Model,人工智能与算法,大语言模型,专业技能/模型技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,largelanguagemodel,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01065,大语言模型,Large Language Models,人工智能与算法,大语言模型,专业技能/模型技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,largelanguagemodels,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01067,大语言模型,基础大模型,人工智能与算法,大语言模型,专业技能/模型技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,基础大模型,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM00176,大语言模型,大模型,人工智能与算法,大语言模型,专业技能/模型技术,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,依据留出样本审计拆分生成式人工智能与大语言模型口径。,大模型,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01062,大语言模型,大语言模型,人工智能与算法,大语言模型,专业技能/模型技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,大语言模型,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01063,大语言模型,语言大模型,人工智能与算法,大语言模型,专业技能/模型技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,语言大模型,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM00860,学习能力,fast learner,自我管理与成长,学习成长,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,fastlearner,JN0775,学习能力,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00859,学习能力,learning ability,自我管理与成长,学习成长,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,learningability,JN0775,学习能力,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00666,学习能力,学习能力,自我管理与成长,学习适应,非技术性技能,soft_phrase,中,公开技能分类框架+招聘文本经验+本项目职业匹配经验,非技术性技能单独统计；仅在任职要求或带能力限定语的语境中识别。,学习能力,JN0775,学习能力,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00667,学习能力,快速学习,自我管理与成长,学习适应,非技术性技能,soft_phrase,中,公开技能分类框架+招聘文本经验+本项目职业匹配经验,非技术性技能单独统计；仅在任职要求或带能力限定语的语境中识别。,快速学习,JN0775,学习能力,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00855,学习能力,快速学习能力,自我管理与成长,学习成长,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,快速学习能力,JN0775,学习能力,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00857,学习能力,持续学习能力,自我管理与成长,学习成长,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,持续学习能力,JN0775,学习能力,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00858,学习能力,知识更新能力,自我管理与成长,学习成长,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,知识更新能力,JN0775,学习能力,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00856,学习能力,自主学习能力,自我管理与成长,学习成长,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,自主学习能力,JN0775,学习能力,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00629,学情分析,学习规划,教育培训科研,教育培训科研,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,学习规划,JN0612,学情分析,方法、标准与流程,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00628,学情分析,学情分析,教育培训科研,教育培训科研,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,学情分析,JN0612,学情分析,方法、标准与流程,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00936,安全意识,安全意识,职业素养,安全意识,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,安全意识,JN0812,安全意识,非技术性能力,22.0,网络运维与信息安全,否,1,唯一映射
BM00937,安全意识,生产安全意识,职业素养,安全意识,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,生产安全意识,JN0812,安全意识,非技术性能力,22.0,网络运维与信息安全,否,1,唯一映射
BM00479,安全生产,安全生产,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,安全生产,JN0688,安全生产,专业知识与行业经验,20.0,安全环保与职业健康,否,1,唯一映射
BM00480,安全生产,安全管理,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,安全管理,JN0688,安全生产,专业知识与行业经验,20.0,安全环保与职业健康,否,1,唯一映射
BM00878,实践动手能力,动手能力,认知与问题解决,实践动手,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,动手能力,JN0795,实践动手能力,非技术性能力,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00881,实践动手能力,实操能力,认知与问题解决,实践动手,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,实操能力,JN0795,实践动手能力,非技术性能力,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00880,实践动手能力,实践动手能力,认知与问题解决,实践动手,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,实践动手能力,JN0795,实践动手能力,非技术性能力,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00879,实践动手能力,实际动手能力,认知与问题解决,实践动手,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,实际动手能力,JN0795,实践动手能力,非技术性能力,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00635,实验设计,实验方案,教育培训科研,教育培训科研,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,实验方案,JN0277,实验设计,方法、标准与流程,18.0,医药研发与药事管理,否,1,唯一映射
BM00634,实验设计,实验设计,教育培训科研,教育培训科研,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,实验设计,JN0277,实验设计,方法、标准与流程,18.0,医药研发与药事管理,否,1,唯一映射
BM00949,审美能力,审美素养,认知与问题解决,审美判断,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,审美素养,JN0806,审美能力,非技术性能力,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00948,审美能力,审美能力,认知与问题解决,审美判断,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,审美能力,JN0806,审美能力,非技术性能力,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00240,审计底稿,内控测试,财务审计税务金融,财务审计税务金融,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,内控测试,JN0727,审计底稿,专业知识与行业经验,12.0,财务会计与税务管理,否,1,唯一映射
BM00238,审计底稿,审计底稿,财务审计税务金融,财务审计税务金融,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,审计底稿,JN0727,审计底稿,专业知识与行业经验,12.0,财务会计与税务管理,否,1,唯一映射
BM00239,审计底稿,审计程序,财务审计税务金融,财务审计税务金融,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,审计程序,JN0727,审计底稿,专业知识与行业经验,12.0,财务会计与税务管理,否,1,唯一映射
BM00736,客户沟通,客情沟通能力,沟通与人际能力,客户沟通,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,客情沟通能力,JN0810,客户沟通,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00735,客户沟通,客户交流能力,沟通与人际能力,客户沟通,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,客户交流能力,JN0810,客户沟通,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00737,客户沟通,客户关系维护能力,沟通与人际能力,客户沟通,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,客户关系维护能力,JN0810,客户沟通,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM01835,客户沟通,客户沟通,,,,,,标准技能名称,,客户沟通,JN0810,客户沟通,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00734,客户沟通,客户沟通能力,沟通与人际能力,客户沟通,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,客户沟通能力,JN0810,客户沟通,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM01555,客户管理,客户管理,专业知识与业务流程,明确业务知识与专业流程,专业知识/方法流程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,客户管理,JN0005,客户管理,职业职能与业务活动,2.0,组织协调与商业执行,否,1,唯一映射
BM00155,密码学,加密算法,数字技术,运维云与安全,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,加密算法,JN0505,密码学,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM00154,密码学,密码学,数字技术,运维云与安全,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,密码学,JN0505,密码学,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM00424,射频,RF,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,rf,JN0252,射频,方法、标准与流程,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00423,射频,射频,机械电子电气制造,机械电子电气制造,专业技能/方法流程,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,射频,JN0252,射频,方法、标准与流程,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00062,小程序开发,小程序,数字技术,开发框架,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,小程序,JN0227,小程序开发,工具软件与技术平台,10.0,Web前端开发,否,1,唯一映射
BM00060,小程序开发,小程序开发,数字技术,开发框架,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,小程序开发,JN0227,小程序开发,工具软件与技术平台,10.0,Web前端开发,否,1,唯一映射
BM00061,小程序开发,微信小程序,数字技术,开发框架,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,微信小程序,JN0227,小程序开发,工具软件与技术平台,10.0,Web前端开发,否,1,唯一映射
BM00413,嵌入式,嵌入式,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,嵌入式,JN0073,嵌入式,方法、标准与流程,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00414,嵌入式,嵌入式开发,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,嵌入式开发,JN0073,嵌入式,方法、标准与流程,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00495,工程管理,工程管理,建筑地产工程,建筑地产工程,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,工程管理,JN0003,工程管理,职业职能与业务活动,16.0,建筑施工与工程造价,否,1,唯一映射
BM00497,工程造价,工程造价,建筑地产工程,建筑地产工程,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,工程造价,JN0093,工程造价,具体专业技能,16.0,建筑施工与工程造价,否,1,唯一映射
BM00498,工程造价,造价,建筑地产工程,建筑地产工程,专业技能/行业知识,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,造价,JN0093,工程造价,具体专业技能,16.0,建筑施工与工程造价,否,1,唯一映射
BM00429,工艺设计,工艺设计,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,工艺设计,JN0055,工艺设计,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM00430,工艺设计,生产工艺,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,生产工艺,JN0055,工艺设计,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM00995,市场分析,市场分析,市场销售电商运营,市场研究,专业技能/方法流程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,市场分析,JN0058,市场分析,方法、标准与流程,2.0,组织协调与商业执行,否,1,唯一映射
BM00997,市场分析,市场分析及判断能力,市场销售电商运营,市场研究,专业技能/方法流程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,市场分析及判断能力,JN0058,市场分析,方法、标准与流程,2.0,组织协调与商业执行,否,1,唯一映射
BM00996,市场分析,市场分析能力,市场销售电商运营,市场研究,专业技能/方法流程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,市场分析能力,JN0058,市场分析,方法、标准与流程,2.0,组织协调与商业执行,否,1,唯一映射
BM01011,市场开拓,业务开拓能力,市场销售电商运营,市场拓展,专业技能/方法流程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,业务开拓能力,JN0057,市场开拓,方法、标准与流程,2.0,组织协调与商业执行,否,1,唯一映射
